"URL","Page Title","Description","Tags"
"https://arxiv.org/abs/1512.03385","Deep Residual Learning for Image Recognition","Seminal paper introducing ResNet architecture for deep neural networks","resnet,deep-learning,image-recognition,neural-networks,arxiv,kaiming-he"
"https://arxiv.org/abs/1706.03762","Attention Is All You Need","Groundbreaking paper introducing the Transformer architecture","transformer,attention-mechanism,nlp,neural-networks,arxiv,vaswani"
"https://arxiv.org/abs/1810.04805","BERT: Pre-training of Deep Bidirectional Transformers","Paper introducing BERT model for natural language understanding","bert,transformers,nlp,pre-training,bidirectional,arxiv,google"
"https://arxiv.org/abs/1409.1556","Very Deep Convolutional Networks for Large-Scale Image Recognition","VGG paper on very deep convolutional networks for image classification","vgg,convolutional-networks,image-classification,deep-learning,arxiv"
"https://arxiv.org/abs/1412.6980","Adam: A Method for Stochastic Optimization","Paper introducing the Adam optimization algorithm","adam,optimization,stochastic,gradient-descent,arxiv,machine-learning"
"https://arxiv.org/abs/2308.04889","Code Llama: Open Foundation Models for Code","Paper introducing Code Llama models for code generation","code-llama,code-generation,foundation-models,llm,arxiv,meta"
"https://arxiv.org/abs/2312.05688","Mixtral of Experts","Paper on Mixtral mixture of experts language model","mixtral,mixture-of-experts,language-model,arxiv,mistral"
"https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks","ImageNet Classification with Deep CNNs (AlexNet)","Historic paper introducing AlexNet and modern deep learning","alexnet,imagenet,cnn,deep-learning,breakthrough,nips,krizhevsky"
"https://proceedings.neurips.cc/paper_files/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf","ImageNet Classification AlexNet Paper PDF","Direct PDF link to the AlexNet paper from NeurIPS proceedings","alexnet,imagenet,pdf,neurips,proceedings,deep-learning"
"https://www.nature.com/articles/nature14539","Human-level control through deep reinforcement learning","Nature paper on DQN achieving human-level performance in games","dqn,reinforcement-learning,deep-learning,nature,deepmind,atari"
"https://dl.acm.org/doi/10.1145/3065386","Mastering the Game of Go with Deep Neural Networks","ACM paper on AlphaGo breakthrough in game playing","alphago,go,deep-learning,reinforcement-learning,acm,deepmind"
"https://openreview.net","OpenReview","Open peer review platform for machine learning conferences","openreview,peer-review,conferences,ml-community,platform"
"https://proceedings.mlr.press","Proceedings of Machine Learning Research","PMLR platform hosting ML conference proceedings","pmlr,proceedings,machine-learning,conferences,publications"
"https://openaccess.thecvf.com","CVF Open Access","Computer Vision Foundation open access papers","cvf,computer-vision,open-access,conferences,papers"
"https://jmlr.org","Journal of Machine Learning Research","Premier open access journal for machine learning research","jmlr,journal,machine-learning,research,open-access"
"https://scholar.google.com","Google Scholar","Academic search engine for scholarly literature","google-scholar,academic-search,citations,research-discovery"
"https://paperswithcode.com","Papers with Code","Repository linking research papers with code implementations","papers-with-code,research,implementations,benchmarks,leaderboards"
"https://www.semanticscholar.org","Semantic Scholar","AI-powered academic search engine by Allen Institute","semantic-scholar,ai-powered,academic-search,allen-institute"
"https://pubmed.ncbi.nlm.nih.gov/26017442","Deep Learning - Nature Review","Nature review article on deep learning by LeCun, Bengio, and Hinton","deep-learning,review,nature,lecun,bengio,hinton,pubmed"
"https://www.researchgate.net/publication/277411157_Deep_Learning","Deep Learning on ResearchGate","ResearchGate page for the seminal deep learning review paper","researchgate,deep-learning,review,academic-network"
"https://github.com/KaimingHe/deep-residual-networks","Deep Residual Networks GitHub","Official GitHub repository for ResNet implementation","github,resnet,implementation,kaiming-he,deep-learning,code"
"https://github.com/brandokoch/attention-is-all-you-need-paper","Attention Is All You Need - Paper GitHub","GitHub repository with resources for the Transformer paper","github,transformer,attention,paper-resources,implementation"
"https://www.doradolist.com/papers/21-most-cited-machine-learning-papers","21 Most Cited ML Papers","Curated list of the most influential machine learning papers","curated-list,most-cited,machine-learning,influential-papers"
"https://www.zeta-alpha.com/post/must-read-the-100-most-cited-ai-papers-in-2022","100 Most Cited AI Papers 2022","Analysis of the most cited AI papers in 2022","most-cited,ai-papers,2022,analysis,citations"
"https://www.kdnuggets.com/2017/04/top-20-papers-machine-learning.html","Top 20 Machine Learning Papers - KDnuggets","KDnuggets compilation of top machine learning papers","kdnuggets,top-papers,machine-learning,compilation"
"https://ireg-observatory.org/en/ranking-news/google-scholar-ranks-highly-cited-papers-artificial-intelligence-and-genetics-are-the-dominant-fields","Highly Cited AI Papers Ranking","Google Scholar ranking analysis of highly cited AI papers","ranking,highly-cited,google-scholar,ai-papers,analysis"
"https://arxiv.org/html/1706.03762v7","Attention Is All You Need HTML","HTML version of the Transformer paper on arXiv","transformer,attention,html-version,arxiv,accessible"
"https://research.google/pubs/attention-is-all-you-need","Attention Is All You Need - Google Research","Google Research publication page for the Transformer paper","google-research,transformer,attention,official-publication"
"https://www.pinecone.io/learn/series/image-search/imagenet","ImageNet Tutorial - Pinecone","Educational content about ImageNet dataset and image search","pinecone,imagenet,tutorial,image-search,educational"
"https://www.darioamodei.com/essay/machines-of-loving-grace","Machines of Loving Grace - Dario Amodei","Essay by Anthropic CEO on AI's potential positive future impact","dario-amodei,anthropic,ai-future,essay,optimistic,impact"
"https://situational-awareness.ai/","Situational Awareness - Leopold Aschenbrenner","Comprehensive analysis of AI development and geopolitical implications","leopold-aschenbrenner,situational-awareness,ai-geopolitics,analysis"
"https://www.lcfi.ac.uk/news-events/blog/post/reflections-on-machines-of-loving-grace","Reflections on Machines of Loving Grace","Academic commentary on Dario Amodei's AI essay","lcfi,commentary,machines-of-loving-grace,academic-analysis"
"https://www.futureofbeinghuman.com/p/amodei-machines-of-loving-grace","Future of Being Human - Amodei Essay Analysis","Analysis of Amodei's essay on AI's transformative potential","future-of-being-human,amodei,analysis,ai-transformation"
"https://edrm.net/2024/10/dario-amodeis-essay-on-ai-machines-of-loving-grace-is-like-a-breath-of-fresh-air/","EDRM Analysis of Amodei Essay","Legal technology perspective on Amodei's AI optimism essay","edrm,legal-tech,amodei,ai-optimism,fresh-perspective"
"https://forum.effectivealtruism.org/posts/h22mEkh9o5vCQE8Ti/dario-amodei-machines-of-loving-grace","EA Forum Discussion - Machines of Loving Grace","Effective Altruism community discussion of Amodei's essay","effective-altruism,forum,discussion,amodei,ai-alignment"
"https://www.axios.com/2024/06/23/leopold-aschenbrenner-ai-future-silicon-valley","Leopold Aschenbrenner AI Future - Axios","News coverage of Aschenbrenner's AI predictions and analysis","axios,leopold-aschenbrenner,ai-future,silicon-valley,news"
"https://scottaaronson.blog/?p=8047","Scott Aaronson Blog on AI","Quantum computing expert's perspective on AI developments","scott-aaronson,blog,quantum-computing,ai-perspective,expert"
"https://www.understandingai.org/p/thoughts-on-leopold-aschenbrenners","Understanding AI - Aschenbrenner Analysis","Analysis of Leopold Aschenbrenner's situational awareness document","understanding-ai,aschenbrenner,analysis,situational-awareness"
"https://patmcguinness.substack.com/p/on-situational-awareness-pt-1-the","Pat McGuinness on Situational Awareness","Substack analysis of AI situational awareness and implications","pat-mcguinness,substack,situational-awareness,ai-implications"
